Ciudad,Situacion,Enero 2021,Febrero 2021,Marzo 2021,Abril 2021,Mayo 2021,Junio 2021,Julio 2021,Agosto 2021,Septiembre 2021,Octubre 2021,Noviembre 2021,Diciembre 2021,Enero 2022,Febrero 2022,Marzo 2022,Abril 2022,Mayo 2022,Junio 2022,Julio 2022,Agosto 2022,Septiembre 2022,Octubre 2022,Noviembre 2022,Diciembre 2022,Enero 2023,Febrero 2023,Marzo 2023,Abril 2023,Mayo 2023,Junio 2023,Julio 2023,Agosto 2023,Septiembre 2023,Octubre 2023,Noviembre 2023,Diciembre 2023,Enero 2024,Febrero 2024,Marzo 2024,Abril 2024,Mayo 2024
Bogotá D.C.,Población ocupada,3500.155471,3570.386707333333,3572.184291666667,3551.105332333333,3552.991278,3615.2077963333336,3689.0291503333333,3695.3821793333336,3684.6336313333336,3643.3728653333333,3642.7596066666665,3659.3424563333333,3701.409742,3783.7316903333335,3819.1233183333334,3818.290899,3783.1397073333333,3767.344395666667,3849.102489333334,3881.889599,3933.2674366666665,3881.1828106666667,3829.065421,3798.2277316666673,3867.894019,3949.327564,3972.327566,3994.059067,4074.786765,4129.370417,4143.26087,4150.03788,4221.448828,4194.088941,4145.265019,4075.01143,4152.625227,4210.181003,4264.775095,4240.06031,4252.503723
Medellín,Población ocupada,1602.3866136666668,1601.5018083333334,1623.7789366666666,1664.251516,1709.2907273333333,1691.5845986666666,1682.4401326666666,1689.2439226666665,1715.5141626666666,1758.9282796666666,1787.7283253333335,1828.351686,1866.408236,1935.4736913333334,1961.4911603333333,1949.9440953333335,1904.6224486666667,1899.8097340000002,1931.8727626666666,1980.9776276666664,2013.094331,2001.883054,1959.0424993333334,1927.187669,1937.816474,1973.066501,1978.441655,1979.661075,1995.088592,2020.346631,2022.701829,2044.993902,2045.743872,2039.221724,2000.209424,1991.757899,1997.075699,2024.034664,2046.470466,2072.0343,2065.593267
Cali,Población ocupada,935.2586266666667,915.4661123333334,898.8166590000001,895.0340753333334,921.4835419999999,958.3555003333335,947.523305,952.491568,964.8176556666667,984.1441986666665,1000.2998966666668,1013.3290486666666,1041.8913453333332,1059.5514933333334,1076.837408,1079.55916,1098.5218303333334,1101.5010966666666,1109.2013453333332,1124.4263766666666,1137.063736,1147.608528,1108.271522,1095.1411836666668,1089.428422,1104.324342,1113.613592,1122.716046,1132.914096,1127.29732,1122.334305,1110.130982,1108.851153,1097.741721,1086.284291,1081.479193,1064.029779,1068.363515,1068.871561,1087.134768,1091.201403
Barranquilla,Población ocupada,773.6591099999999,775.5297136666668,775.5930276666667,769.8228333333333,780.857841,781.0172253333334,780.6918326666668,789.6316716666666,805.9744796666668,835.3059206666667,840.0633513333333,845.2110783333333,843.537742,847.036251,828.8672913333334,851.8919466666666,860.1389403333333,889.9529446666667,885.8005106666666,895.052824,896.776143,910.0271539999999,902.6408866666667,890.8326860000001,884.871656,896.391936,893.702481,914.474218,910.577301,937.001966,918.756161,937.025051,936.657214,933.127252,899.54766,880.093761,872.141293,877.287864,881.227857,883.161111,902.753321
Bucaramanga,Población ocupada,466.655168,487.03265933333336,498.40627933333326,504.82815033333327,502.99046266666664,498.3362463333333,499.069569,517.6013416666666,540.3000620000001,543.8758043333333,547.1578166666667,557.9059296666666,570.8722613333333,578.0737656666666,572.9621803333333,577.2144280000001,587.4685803333333,594.3282226666666,598.7478043333333,595.1830956666666,587.1105483333333,594.6944166666667,584.7795396666667,580.3497853333333,566.646042,570.529847,579.241271,589.033553,599.048208,599.604184,604.026663,605.815774,618.924879,616.039897,600.849349,582.866535,579.747477,592.114406,601.829937,598.674701,599.002667
Manizales,Población ocupada,201.01977133333332,198.83712466666668,198.07321866666666,197.694927,200.39787233333334,205.05682633333333,208.70317666666665,210.12725899999998,210.51882666666666,210.10135966666667,211.294758,211.47083266666667,213.35653433333334,212.72566633333335,217.09200299999998,219.63752166666666,222.60076233333334,224.22663433333332,224.461604,228.7228266666667,227.99372366666668,228.32336466666666,223.34740466666668,220.30172533333334,219.30916,221.703781,223.828683,224.494172,224.496918,226.531852,227.973072,227.820173,228.061559,226.433605,226.152851,222.588021,220.00719,218.920347,221.014405,222.417231,224.623168
Pasto,Población ocupada,138.98234,138.156249,137.17418433333333,135.38059866666666,136.98078866666665,139.53135266666666,141.38595633333335,143.40959566666666,142.13216166666666,142.55386566666667,141.17600466666667,143.07429033333332,146.09977833333335,149.44550500000003,150.07470433333333,149.75752266666666,150.18691133333334,151.30268666666666,150.26947966666668,149.73334866666667,150.33227666666667,150.48598366666667,149.27294533333333,149.510344,151.567094,154.920524,154.043274,155.236998,155.841378,158.893875,159.184465,161.001235,162.388291,161.85705,158.541209,156.045534,153.598492,153.584232,154.759812,156.582468,160.257446
Pereira,Población ocupada,267.48370266666666,267.57738900000004,265.283875,258.17378433333334,255.24772700000003,263.7229346666667,269.692294,275.2642766666667,273.430522,274.956391,275.13039533333335,275.42035366666664,273.7409073333334,277.315142,280.08246133333336,283.5832886666667,286.66408233333334,289.2059556666666,293.61329699999993,298.51397966666667,302.4413633333333,303.2609333333333,298.9304426666667,293.2068033333333,294.048916,295.460977,295.206109,294.766678,298.467083,296.927694,293.950691,289.044529,292.244322,293.889918,289.099765,285.119947,280.873911,288.798262,298.884782,307.98702,307.348081
Cúcuta,Población ocupada,383.4414696666666,393.9678086666667,395.75882299999995,389.57491566666664,390.6168823333333,397.24251766666663,401.2408766666667,406.362934,409.05682,411.353756,399.866877,399.1139166666667,402.27707133333337,412.34510700000004,407.39972766666665,408.4562276666666,417.576793,418.78547266666664,414.36463499999996,403.24992999999995,408.15543099999996,413.3557186666667,411.0711056666667,415.2669736666667,419.421687,419.610018,412.614273,410.571502,414.830699,418.108531,409.953613,406.601366,415.759555,423.375616,414.766857,405.734846,406.554159,421.198084,417.872001,416.622936,421.870429
Ibagué,Población ocupada,152.34663933333334,166.53327066666668,171.45213433333333,173.787183,168.49535433333332,169.71012266666665,175.744588,182.57134899999997,192.83956700000002,193.270536,194.54597966666668,194.03125133333333,199.15534466666668,199.202533,198.60064666666665,192.800354,190.5441393333333,181.9087176666667,182.25338366666665,183.48197533333334,187.845552,187.680614,187.1643763333333,184.85979199999997,185.474424,187.506265,188.014693,190.689075,189.831338,194.338892,192.525525,193.486756,200.777876,206.960987,208.010766,201.880169,198.019949,197.894515,194.81436,191.205908,194.040644
